dataset,accuracy,time_training_seconds,time_test_seconds,our_accuracy,our_balanced_accuracy,our_macro_f1,our_train_time_seconds,our_test_time_seconds,train_size,test_size,series_length,num_classes,accuracy_diff,train_time_diff,test_time_diff
FaceAll,0.983452,0.59,0.82,0.8023668639053254,0.90613858030215,0.8510593397271331,0.30988311767578125,0.1730189323425293,560,1690,131,14,-0.18108513609467458,-0.2801168823242187,-0.6469810676574707
FaceFour,0.940152,0.15,0.09,0.9886363636363636,0.9886363636363636,0.9894690653795524,0.05932283401489258,0.02633380889892578,24,88,350,4,0.04848436363636366,-0.09067716598510742,-0.06366619110107422
FacesUCR,0.96865,0.22,1.0,0.9604878048780487,0.9384686397080596,0.9486939524859144,0.09104013442993164,0.20101404190063477,200,2050,131,14,-0.008162195121951266,-0.12895986557006836,-0.7989859580993652
FiftyWords,0.829011,0.63,0.35,0.8395604395604396,0.7471832641558646,0.7424486282764728,0.2502779960632324,0.0943610668182373,450,455,270,50,0.010549439560439522,-0.3797220039367676,-0.2556389331817627
Fish,0.975048,0.33,0.18,0.9714285714285714,0.9729650480882007,0.9715560892021322,0.2535398006439209,0.1136770248413086,175,175,463,7,-0.0036194285714286067,-0.07646019935607912,-0.0663229751586914
FordA,0.948182,18.99,1.38,0.9446969696969697,0.9445202787946474,0.9446267679812159,6.641103029251099,0.33241701126098633,3601,1320,500,2,-0.0034850303030302676,-12.3488969707489,-1.0475829887390136
FordB,0.92679,19.23,0.84,0.817283950617284,0.8173392923559073,0.81728283665805,6.62651801109314,0.21549010276794434,3636,810,500,2,-0.10950604938271602,-12.60348198890686,-0.6245098972320556
FreezerRegularTrain,0.999123,0.27,2.21,0.9992982456140351,0.9992982456140351,0.9992982456140351,0.1039738655090332,0.429307222366333,150,2850,301,2,0.0001752456140351466,-0.16602613449096681,-1.780692777633667
FreezerSmallTrain,0.987322,0.12,2.26,0.968421052631579,0.968421052631579,0.9683935962098931,0.05886673927307129,0.41516923904418945,28,2850,301,2,-0.018900947368421073,-0.061133260726928706,-1.8448307609558103
GunPoint,0.992444,0.14,0.09,0.9933333333333333,0.993421052631579,0.9933330370238678,0.05838179588317871,0.03510403633117676,50,150,150,2,0.0008893333333332976,-0.0816182041168213,-0.05489596366882324
GunPointAgeSpan,0.9923,0.22,0.19,0.9936708860759493,0.9935897435897436,0.9936686034862753,0.09037995338439941,0.05113410949707031,135,316,150,2,0.0013708860759493735,-0.1296200466156006,-0.1388658905029297
GunPointMaleVersusFemale,0.999895,0.18,0.19,1.0,1.0,1.0,0.05948805809020996,0.04979991912841797,135,316,150,2,0.00010500000000002174,-0.12051194190979003,-0.14020008087158203
GunPointOldVersusYoung,1.0,0.2,0.19,1.0,1.0,1.0,0.06923794746398926,0.03726506233215332,136,315,150,2,0.0,-0.13076205253601075,-0.15273493766784668
