dataset,our_accuracy,our_balanced_accuracy,our_macro_f1,our_train_time_seconds,our_test_time_seconds,train_size,test_size,series_length,num_classes
GunPointAgeSpan,0.9936708860759493,0.9935897435897436,0.9936686034862753,0.09037995338439941,0.05113410949707031,135,316,150,2
GunPointMaleVersusFemale,1.0,1.0,1.0,0.05948805809020996,0.04979991912841797,135,316,150,2
GunPointOldVersusYoung,1.0,1.0,1.0,0.06923794746398926,0.03726506233215332,136,315,150,2
Ham,0.7238095238095238,0.7205882352941176,0.7188106011635423,0.0834808349609375,0.041608333587646484,109,105,431,2
Haptics,0.525974025974026,0.5239181103541324,0.5068991535191495,0.18317580223083496,0.1701953411102295,155,308,1092,5
Herring,0.703125,0.6953441295546559,0.6940880503144654,0.08698010444641113,0.05653715133666992,64,64,512,2
HouseTwenty,0.9663865546218487,0.9627536231884057,0.9653061224489796,0.21074795722961426,0.12077903747558594,40,119,2000,2
InlineSkate,0.4727272727272727,0.4831957081603019,0.4737454956837722,0.17735028266906738,0.40264391899108887,100,550,1882,7
InsectEPGRegularTrain,1.0,1.0,1.0,0.11806011199951172,0.10281229019165039,62,249,601,3
InsectEPGSmallTrain,0.9919678714859438,0.9925093632958801,0.9884601832276251,0.08545112609863281,0.08430099487304688,17,249,601,3
InsectWingbeatSound,0.6737373737373737,0.6737373737373736,0.667381614410494,0.10898494720458984,0.3637049198150635,220,1980,256,11
ItalyPowerDemand,0.9611273080660836,0.9611326442721791,0.9611272713535568,0.07250404357910156,0.12361288070678711,67,1029,24,2
LargeKitchenAppliances,0.8666666666666667,0.8666666666666667,0.8663527014976582,0.26693010330200195,0.15944504737854004,375,375,720,3
Lightning2,0.7540983606557377,0.751082251082251,0.751696065128901,0.1311957836151123,0.04101109504699707,60,61,637,2
Lightning7,0.7808219178082192,0.77109440267335,0.768788229314545,0.07500314712524414,0.026952743530273438,70,73,319,7
Mallat,0.949680170575693,0.9499610641730043,0.9491744088564034,0.07727909088134766,0.77730393409729,55,2345,1024,8
Meat,0.9666666666666667,0.9666666666666667,0.967032967032967,0.11180806159973145,0.02663397789001465,60,60,448,3
MedicalImages,0.8039473684210526,0.7396188759642579,0.753865094372905,0.12444806098937988,0.06182599067687988,381,760,99,10
MiddlePhalanxOutlineAgeGroup,0.577922077922078,0.4639110113248044,0.4763849231934338,0.11632728576660156,0.03729987144470215,400,154,80,3
MiddlePhalanxOutlineCorrect,0.8625429553264605,0.8607469879518073,0.86002886002886,0.1989607810974121,0.04137897491455078,600,291,80,2
MiddlePhalanxTW,0.525974025974026,0.3803227931488801,0.3717010620798448,0.1550459861755371,0.027563095092773438,399,154,80,6
MixedShapesRegularTrain,0.9715463917525773,0.9707073564457873,0.9715027954272429,0.3222038745880127,0.8460121154785156,500,2425,1024,5
MixedShapesSmallTrain,0.9517525773195876,0.9508467864390425,0.9521458329735187,0.17513608932495117,0.8469851016998291,100,2425,1024,5
MoteStrain,0.9233226837060703,0.920207972270364,0.922351773753411,0.032273054122924805,0.1276240348815918,20,1252,84,2
OSULeaf,0.9462809917355371,0.9339277871886568,0.9418302101705899,0.12488603591918945,0.07596778869628906,200,242,427,6
OliveOil,0.9666666666666667,0.9791666666666666,0.9759725400457666,0.08246922492980957,0.025117874145507812,30,30,570,4
PhalangesOutlinesCorrect,0.8368298368298368,0.8124856841815933,0.8216915257457724,1.2864882946014404,0.07810187339782715,1800,858,80,2
Phoneme,0.2911392405063291,0.144842893110232,0.13953883662959748,0.21317195892333984,0.7361130714416504,214,1896,1024,39
PigAirwayPressure,0.875,0.875,0.8694250194250193,0.22733616828918457,0.2663450241088867,104,208,2000,52
PigArtPressure,0.9759615384615384,0.9759615384615384,0.9746031746031746,0.25248193740844727,0.2891111373901367,104,208,2000,52
PigCVP,0.9471153846153846,0.9471153846153846,0.9471361971361969,0.2976651191711426,0.247208833694458,104,208,2000,52
Plane,1.0,1.0,1.0,0.05806112289428711,0.021541833877563477,105,105,144,7
PowerCons,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.07517313957214355,0.032033681869506836,180,180,144,2
ProximalPhalanxOutlineAgeGroup,0.8390243902439024,0.7516221033868092,0.7392020440912604,0.1245718002319336,0.03234505653381348,400,205,80,3
ProximalPhalanxOutlineCorrect,0.9037800687285223,0.859514966135023,0.8811413233749562,0.24219489097595215,0.03577399253845215,600,291,80,2
ProximalPhalanxTW,0.7951219512195122,0.4961087420042644,0.49526402930379415,0.14898085594177246,0.027348041534423828,400,205,80,6
RefrigerationDevices,0.48,0.48000000000000004,0.47575415435144724,0.27753329277038574,0.1523439884185791,375,375,720,3
Rock,0.8,0.7896825396825397,0.7734981684981685,0.23949575424194336,0.07761216163635254,20,50,2844,4
ScreenType,0.47733333333333333,0.47733333333333333,0.47523527946626976,0.2642982006072998,0.14789867401123047,375,375,720,3
SemgHandGenderCh2,0.8983333333333333,0.9009157509157509,0.8908606206631261,0.27071475982666016,0.3576650619506836,300,600,1500,2
SemgHandMovementCh2,0.6955555555555556,0.6955555555555555,0.6971072732839331,0.5299179553985596,0.3188610076904297,450,450,1500,6
SemgHandSubjectCh2,0.8688888888888889,0.8688888888888888,0.8684697472012948,0.40895938873291016,0.31320977210998535,450,450,1500,5
ShapeletSim,1.0,1.0,1.0,0.1154928207397461,0.057871103286743164,20,180,500,2
ShapesAll,0.9216666666666666,0.9216666666666666,0.9180571897591349,0.34270310401916504,0.20304489135742188,600,600,512,60
SmallKitchenAppliances,0.8373333333333334,0.8373333333333334,0.8374280170651311,0.24229884147644043,0.19054317474365234,375,375,720,3
SmoothSubspace,0.9666666666666667,0.9666666666666667,0.9666633329999667,0.21510601043701172,0.043229103088378906,150,150,15,3
SonyAIBORobotSurface1,0.8985024958402662,0.9101182001039618,0.8982817125718265,0.05608201026916504,0.041908979415893555,20,601,70,2
SonyAIBORobotSurface2,0.919202518363064,0.9277700121144348,0.9164820031298905,0.024235010147094727,0.08702683448791504,27,953,65,2
StarLightCurves,0.9825157843613405,0.963757327152882,0.9737387532814559,0.7751002311706543,2.753056049346924,1000,8236,1024,3
