dataset,model,accuracy,balanced_accuracy,macro_f1,train_time_seconds,test_time_seconds
Beef,MiniRocket_Ridge_10k,0.8666666666666667,0.8666666666666666,0.8721212121212121,0.04206705093383789,0.048146963119506836
Beef,MiniRocket_Ridge_20k,0.8333333333333334,0.8333333333333334,0.8398268398268398,0.1236259937286377,0.16460919380187988
Beef,MiniRocket_LogReg_10k,0.8333333333333334,0.8333333333333334,0.8398268398268398,0.43436694145202637,0.0809321403503418
Beef,MiniRocket_LinearSVC_10k,0.8,0.8,0.8005128205128205,0.6944210529327393,0.023595094680786133
Coffee,MiniRocket_Ridge_10k,1.0,1.0,1.0,0.04612088203430176,0.0258791446685791
Coffee,MiniRocket_Ridge_20k,1.0,1.0,1.0,0.07265400886535645,0.028146982192993164
Coffee,MiniRocket_LogReg_10k,1.0,1.0,1.0,0.07494497299194336,0.03989005088806152
Coffee,MiniRocket_LinearSVC_10k,1.0,1.0,1.0,0.06449294090270996,0.023327112197875977
ECG200,MiniRocket_Ridge_10k,0.92,0.9071180555555556,0.9120879120879121,0.06105804443359375,0.028764963150024414
ECG200,MiniRocket_Ridge_20k,0.92,0.9071180555555556,0.9120879120879121,0.07823896408081055,0.0392298698425293
ECG200,MiniRocket_LogReg_10k,0.91,0.8993055555555556,0.9017359973796266,0.12898612022399902,0.05119895935058594
ECG200,MiniRocket_LinearSVC_10k,0.91,0.9053819444444444,0.90292309351742,0.1229088306427002,0.04373812675476074
FaceFour,MiniRocket_Ridge_10k,0.9886363636363636,0.9886363636363636,0.9894690653795524,0.0638127326965332,0.026375293731689453
FaceFour,MiniRocket_Ridge_20k,0.9886363636363636,0.9886363636363636,0.9894690653795524,0.0855710506439209,0.030005931854248047
FaceFour,MiniRocket_LogReg_10k,0.9886363636363636,0.9886363636363636,0.9894690653795524,0.46542811393737793,0.037552833557128906
FaceFour,MiniRocket_LinearSVC_10k,0.9659090909090909,0.9594155844155845,0.964859738444644,0.1524510383605957,0.03728318214416504
GunPoint,MiniRocket_Ridge_10k,0.9933333333333333,0.993421052631579,0.9933330370238678,0.06128263473510742,0.025266170501708984
GunPoint,MiniRocket_Ridge_20k,0.9933333333333333,0.993421052631579,0.9933330370238678,0.06596207618713379,0.04760479927062988
GunPoint,MiniRocket_LogReg_10k,0.9933333333333333,0.993421052631579,0.9933330370238678,0.08237218856811523,0.049252986907958984
GunPoint,MiniRocket_LinearSVC_10k,0.9933333333333333,0.993421052631579,0.9933330370238678,0.07695531845092773,0.033761024475097656
ItalyPowerDemand,MiniRocket_Ridge_10k,0.966958211856171,0.9669579310032186,0.9669579310032186,0.027539968490600586,0.0848701000213623
ItalyPowerDemand,MiniRocket_Ridge_20k,0.9630709426627794,0.9630649621469696,0.9630700707205029,0.05918312072753906,0.12949395179748535
ItalyPowerDemand,MiniRocket_LogReg_10k,0.9659863945578231,0.965983272133823,0.9659858805751659,0.08256006240844727,0.05329394340515137
ItalyPowerDemand,MiniRocket_LinearSVC_10k,0.9650145772594753,0.9650142798857609,0.9650142798857609,0.061868906021118164,0.06150412559509277
OliveOil,MiniRocket_Ridge_10k,0.9333333333333333,0.9166666666666666,0.9284161490683229,0.08399486541748047,0.013437032699584961
OliveOil,MiniRocket_Ridge_20k,0.9333333333333333,0.9166666666666666,0.9284161490683229,0.1203298568725586,0.0246431827545166
OliveOil,MiniRocket_LogReg_10k,0.9666666666666667,0.9791666666666666,0.9759725400457666,0.3981149196624756,0.1343376636505127
OliveOil,MiniRocket_LinearSVC_10k,0.9666666666666667,0.9791666666666666,0.9759725400457666,0.1405351161956787,0.03597688674926758
SonyAIBORobotSurface1,MiniRocket_Ridge_10k,0.8935108153078203,0.9057450222613963,0.8933262335818246,0.1613140106201172,0.11402606964111328
SonyAIBORobotSurface1,MiniRocket_Ridge_20k,0.8885191347753744,0.9013718444188307,0.8883695528627705,0.16504788398742676,0.1521892547607422
SonyAIBORobotSurface1,MiniRocket_LogReg_10k,0.8785357737104825,0.891664971636495,0.8784011130789549,0.12820100784301758,0.09734201431274414
SonyAIBORobotSurface1,MiniRocket_LinearSVC_10k,0.961730449251248,0.9587881664293625,0.9607707916507031,0.05143380165100098,0.08612298965454102
TwoLeadECG,MiniRocket_Ridge_10k,0.9982440737489026,0.9982456140350877,0.9982440723953998,0.04740595817565918,0.13881301879882812
TwoLeadECG,MiniRocket_Ridge_20k,0.9982440737489026,0.9982456140350877,0.9982440723953998,0.08588695526123047,0.21042823791503906
TwoLeadECG,MiniRocket_LogReg_10k,0.9982440737489026,0.9982456140350877,0.9982440723953998,0.3226349353790283,0.08587813377380371
TwoLeadECG,MiniRocket_LinearSVC_10k,0.9982440737489026,0.9982456140350877,0.9982440723953998,0.02752089500427246,0.1203761100769043
Wafer,MiniRocket_Ridge_10k,0.9993510707332901,0.9976534352794151,0.9983121577217963,0.47538113594055176,0.6338129043579102
Wafer,MiniRocket_Ridge_20k,0.9990266060999351,0.9968106299573265,0.9974682365826945,0.7057209014892578,1.2759621143341064
Wafer,MiniRocket_LogReg_10k,0.9987021414665801,0.9979506868644606,0.9966376644313826,0.7626650333404541,0.6145138740539551
Wafer,MiniRocket_LinearSVC_10k,0.991239454899416,0.9950900163666121,0.9780242242166108,4.417073726654053,0.4196641445159912
