model,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_train_time,mean_test_time
MiniRocket_Ridge_10k,0.956003386861588,0.9541110807735949,0.9552267770383107,0.10699772834777832,0.11393916606903076
MiniRocket_LinearSVC_10k,0.9552137646068133,0.9554523324875097,0.9539654597692995,0.5809661626815796,0.08853487968444824
MiniRocket_LogReg_10k,0.9533438080453486,0.9547707516493364,0.9539606210136556,0.2880274295806885,0.12441926002502442
MiniRocket_Ridge_20k,0.9517497120923355,0.9498668522381714,0.9510284935947861,0.1562220811843872,0.21023135185241698
